State Abbreviation,State FIPS Code,County FIPS Code,,county,county_nname,Entity Description
AL,01,067,,00124,Abbeville,city
AL,01,073,,00460,Adamsville,city
AL,01,117,,00820,Alabaster,city
AL,01,095,,00988,Albertville,city
AL,01,123,,01132,Alexander City,city
AL,01,107,,01228,Aliceville,city
AL,01,039,,01708,Andalusia,city
AL,01,015,,01852,Anniston,city
AL,01,043,,02116,Arab,city
AL,01,095,,02116,Arab,city
AL,01,115,,02908,Ashville,city
AL,01,083,,02956,Athens,city
AL,01,053,,03004,Atmore,city
AL,01,055,,03028,Attalla,city
AL,01,081,,03076,Auburn,city
AL,01,003,,04660,Bay Minette,city
AL,01,097,,04684,Bayou La Batre,city
AL,01,073,,05980,Bessemer,city
AL,01,073,,07000,Birmingham,city
AL,01,117,,07000,Birmingham,city
AL,01,055,,07912,Boaz,city
AL,01,095,,07912,Boaz,city
AL,01,007,,09136,Brent,city
AL,01,053,,09208,Brewton,city
AL,01,071,,09328,Bridgeport,city
AL,01,073,,09400,Brighton,city
AL,01,109,,10240,Brundidge,city
AL,01,021,,11416,Calera,city
AL,01,117,,11416,Calera,city
AL,01,131,,11512,Camden,city
AL,01,127,,12016,Carbon Hill,city
AL,01,073,,13264,Center Point,city
AL,01,019,,13648,Centre,city
AL,01,007,,13672,Centreville,city
AL,01,117,,14104,Chelsea,city
AL,01,097,,14392,Chickasaw,city
AL,01,121,,14464,Childersburg,city
AL,01,097,,15064,Citronelle,city
AL,01,021,,15136,Clanton,city
AL,01,073,,15256,Clay,city
AL,01,005,,15640,Clio,city
AL,01,117,,16768,Columbiana,city
AL,01,127,,17368,Cordova,city
AL,01,097,,18304,Creola,city
AL,01,043,,18976,Cullman,city
AL,01,123,,19336,Dadeville,city
AL,01,045,,19360,Daleville,city
AL,01,003,,19648,Daphne,city
AL,01,083,,20104,Decatur,city
AL,01,103,,20104,Decatur,city
AL,01,091,,20296,Demopolis,city
AL,01,127,,21136,Dora,city
AL,01,045,,21184,Dothan,city
AL,01,067,,21184,Dothan,city
AL,01,069,,21184,Dothan,city
AL,01,053,,22216,East Brewton,city
AL,01,031,,23296,Elba,city
AL,01,031,,24184,Enterprise,city
AL,01,045,,24184,Enterprise,city
AL,01,005,,24568,Eufaula,city
AL,01,035,,24808,Evergreen,city
AL,01,073,,25120,Fairfield,city
AL,01,003,,25240,Fairhope,city
AL,01,057,,25840,Fayette,city
AL,01,077,,26896,Florence,city
AL,01,003,,26992,Foley,city
AL,01,049,,27616,Fort Payne,city
AL,01,073,,28552,Fultondale,city
AL,01,055,,28696,Gadsden,city
AL,01,073,,29056,Gardendale,city
AL,01,061,,29464,Geneva,city
AL,01,015,,29992,Glencoe,city
AL,01,055,,29992,Glencoe,city
AL,01,073,,31384,Graysville,city
AL,01,065,,31720,Greensboro,city
AL,01,013,,31912,Greenville,city
AL,01,093,,32224,Guin,city
AL,01,003,,32272,Gulf Shores,city
AL,01,095,,32416,Guntersville,city
AL,01,093,,32704,Haleyville,city
AL,01,133,,32704,Haleyville,city
AL,01,093,,32848,Hamilton,city
AL,01,043,,32968,Hanceville,city
AL,01,061,,33424,Hartford,city
AL,01,103,,33448,Hartselle,city
AL,01,067,,33856,Headland,city
AL,01,029,,33976,Heflin,city
AL,01,073,,34024,Helena,city
AL,01,117,,34024,Helena,city
AL,01,049,,34096,Henagar,city
AL,01,055,,35392,Hokes Bluff,city
AL,01,073,,35800,Homewood,city
AL,01,073,,35896,Hoover,city
AL,01,117,,35896,Hoover,city
AL,01,073,,36448,Hueytown,city
AL,01,083,,37000,Huntsville,city
AL,01,089,,37000,Huntsville,city
AL,01,117,,37465,Indian Springs Village,city
AL,01,073,,37864,Irondale,city
AL,01,025,,38152,Jackson,city
AL,01,015,,38272,Jacksonville,city
AL,01,127,,38416,Jasper,city
AL,01,021,,38608,Jemison,city
AL,01,017,,40672,La Fayette,city
AL,01,017,,41296,Lanett,city
AL,01,073,,41968,Leeds,city
AL,01,115,,41968,Leeds,city
AL,01,117,,41968,Leeds,city
AL,01,121,,43120,Lincoln,city
AL,01,091,,43240,Linden,city
AL,01,027,,43264,Lineville,city
AL,01,073,,43336,Lipscomb,city
AL,01,119,,43720,Livingston,city
AL,01,041,,44728,Luverne,city
AL,01,083,,45784,Madison,city
AL,01,089,,45784,Madison,city
AL,01,105,,46768,Marion,city
AL,01,073,,48376,Midfield,city
AL,01,001,,48712,Millbrook,city
AL,01,051,,48712,Millbrook,city
AL,01,097,,50000,Mobile,city
AL,01,099,,50192,Monroeville,city
AL,01,117,,50312,Montevallo,city
AL,01,101,,51000,Montgomery,city
AL,01,115,,51096,Moody,city
AL,01,079,,51600,Moulton,city
AL,01,073,,51696,Mountain Brook,city
AL,01,033,,53016,Muscle Shoals,city
AL,01,089,,54168,New Hope,city
AL,01,125,,55200,Northport,city
AL,01,009,,57000,Oneonta,city
AL,01,081,,57048,Opelika,city
AL,01,039,,57120,Opp,city
AL,01,003,,57144,Orange Beach,city
AL,01,015,,57576,Oxford,city
AL,01,121,,57576,Oxford,city
AL,01,045,,57648,Ozark,city
AL,01,117,,58848,Pelham,city
AL,01,115,,58896,Pell City,city
AL,01,081,,59472,Phenix City,city
AL,01,113,,59472,Phenix City,city
AL,01,015,,59640,Piedmont,city
AL,01,019,,59640,Piedmont,city
AL,01,073,,60648,Pinson,city
AL,01,073,,61008,Pleasant Grove,city
AL,01,001,,62328,Prattville,city
AL,01,051,,62328,Prattville,city
AL,01,097,,62496,Prichard,city
AL,01,055,,63288,Rainbow City,city
AL,01,049,,63336,Rainsville,city
AL,01,059,,63576,Red Bay,city
AL,01,111,,65040,Roanoke,city
AL,01,003,,65208,Robertsdale,city
AL,01,059,,67056,Russellville,city
AL,01,061,,67800,Samson,city
AL,01,097,,68160,Saraland,city
AL,01,097,,68352,Satsuma,city
AL,01,071,,68736,Scottsboro,city
AL,01,047,,69120,Selma,city
AL,01,033,,69648,Sheffield,city
AL,01,061,,71040,Slocomb,city
AL,01,081,,71190,Smiths Station,city
AL,01,015,,71832,Southside,city
AL,01,055,,71832,Southside,city
AL,01,003,,71976,Spanish Fort,city
AL,01,115,,72600,Springville,city
AL,01,071,,73080,Stevenson,city
AL,01,075,,73728,Sulligent,city
AL,01,073,,73848,Sumiton,city
AL,01,127,,73848,Sumiton,city
AL,01,121,,74352,Sylacauga,city
AL,01,121,,74592,Talladega,city
AL,01,051,,74688,Tallassee,city
AL,01,123,,74688,Tallassee,city
AL,01,073,,74976,Tarrant,city
AL,01,025,,75960,Thomasville,city
AL,01,109,,76920,Troy,city
AL,01,073,,76944,Trussville,city
AL,01,115,,76944,Trussville,city
AL,01,125,,77256,Tuscaloosa,city
AL,01,033,,77280,Tuscumbia,city
AL,01,087,,77304,Tuskegee,city
AL,01,011,,77880,Union Springs,city
AL,01,017,,78204,Valley,city
AL,01,047,,78232,Valley Grande,city
AL,01,075,,78480,Vernon,city
AL,01,073,,78552,Vestavia Hills,city
AL,01,117,,78552,Vestavia Hills,city
AL,01,073,,79944,Warrior,city
AL,01,015,,80352,Weaver,city
AL,01,051,,81720,Wetumpka,city
AL,01,057,,82992,Winfield,city
AL,01,093,,82992,Winfield,city
AL,01,119,,84096,York,city
AL,01,001,,00000,Autauga,County
AL,01,003,,00000,Baldwin,County
AL,01,005,,00000,Barbour,County
AL,01,007,,00000,Bibb,County
AL,01,009,,00000,Blount,County
AL,01,011,,00000,Bullock,County
AL,01,013,,00000,Butler,County
AL,01,015,,00000,Calhoun,County
AL,01,017,,00000,Chambers,County
AL,01,019,,00000,Cherokee,County
AL,01,021,,00000,Chilton,County
AL,01,023,,00000,Choctaw,County
AL,01,025,,00000,Clarke,County
AL,01,027,,00000,Clay,County
AL,01,029,,00000,Cleburne,County
AL,01,031,,00000,Coffee,County
AL,01,033,,00000,Colbert,County
AL,01,035,,00000,Conecuh,County
AL,01,037,,00000,Coosa,County
AL,01,039,,00000,Covington,County
AL,01,041,,00000,Crenshaw,County
AL,01,043,,00000,Cullman,County
AL,01,045,,00000,Dale,County
AL,01,047,,00000,Dallas,County
AL,01,049,,00000,DeKalb,County
AL,01,051,,00000,Elmore,County
AL,01,053,,00000,Escambia,County
AL,01,055,,00000,Etowah,County
AL,01,057,,00000,Fayette,County
AL,01,059,,00000,Franklin,County
AL,01,061,,00000,Geneva,County
AL,01,063,,00000,Greene,County
AL,01,065,,00000,Hale,County
AL,01,067,,00000,Henry,County
AL,01,069,,00000,Houston,County
AL,01,071,,00000,Jackson,County
AL,01,073,,00000,Jefferson,County
AL,01,075,,00000,Lamar,County
AL,01,077,,00000,Lauderdale,County
AL,01,079,,00000,Lawrence,County
AL,01,081,,00000,Lee,County
AL,01,083,,00000,Limestone,County
AL,01,085,,00000,Lowndes,County
AL,01,087,,00000,Macon,County
AL,01,089,,00000,Madison,County
AL,01,091,,00000,Marengo,County
AL,01,093,,00000,Marion,County
AL,01,095,,00000,Marshall,County
AL,01,097,,00000,Mobile,County
AL,01,099,,00000,Monroe,County
AL,01,101,,00000,Montgomery,County
AL,01,103,,00000,Morgan,County
AL,01,105,,00000,Perry,County
AL,01,107,,00000,Pickens,County
AL,01,109,,00000,Pike,County
AL,01,111,,00000,Randolph,County
AL,01,113,,00000,Russell,County
AL,01,117,,00000,Shelby,County
AL,01,115,,00000,St. Clair,County
AL,01,119,,00000,Sumter,County
AL,01,121,,00000,Talladega,County
AL,01,123,,00000,Tallapoosa,County
AL,01,125,,00000,Tuscaloosa,County
AL,01,127,,00000,Walker,County
AL,01,129,,00000,Washington,County
AL,01,131,,00000,Wilcox,County
AL,01,133,,00000,Winston,County
AL,01,097,,9240,MOWA Choctaw,Reservation
AL,01,129,,9240,MOWA Choctaw,Reservation
AL,01,051,,2865,Poarch Creek,Reservation
AL,01,053,,2865,Poarch Creek,Reservation
AL,01,099,,2865,Poarch Creek,Reservation
AL,01,101,,2865,Poarch Creek,Reservation
AL,01,069,,9550,Cher-O-Creek,SDTSA
AL,01,095,,9560,Cherokee Tribe of Northeast Alabama,SDTSA
AL,01,043,,9680,Echota Cherokee,SDTSA
AL,01,079,,9680,Echota Cherokee,SDTSA
AL,01,089,,9680,Echota Cherokee,SDTSA
AL,01,031,,9820,MaChis Lower Creek,SDTSA
AL,01,061,,9820,MaChis Lower Creek,SDTSA
AL,01,069,,9820,MaChis Lower Creek,SDTSA
AL,01,109,,9820,MaChis Lower Creek,SDTSA
AL,01,041,,9880,Star Muskogee Creek,SDTSA
AL,01,109,,9880,Star Muskogee Creek,SDTSA
AL,01,095,,9950,United Cherokee Ani-Yun-Wiya Nation,SDTSA
AL,01,133,,00484,Addison,town
AL,01,065,,00676,Akron,town
AL,01,009,,01396,Allgood,town
AL,01,009,,01660,Altoona,town
AL,01,055,,01660,Altoona,town
AL,01,077,,01756,Anderson,town
AL,01,083,,02260,Ardmore,town
AL,01,073,,02320,Argo,town
AL,01,115,,02320,Argo,town
AL,01,045,,02428,Ariton,town
AL,01,133,,02500,Arley,town
AL,01,069,,02836,Ashford,town
AL,01,027,,02860,Ashland,town
AL,01,001,,03220,Autaugaville,town
AL,01,069,,03364,Avon,town
AL,01,039,,03556,Babbie,town
AL,01,043,,03676,Baileyton,town
AL,01,005,,03724,Bakerhill,town
AL,01,109,,03940,Banks,town
AL,01,093,,04852,Bear Creek,town
AL,01,099,,04900,Beatrice,town
AL,01,075,,04948,Beaverton,town
AL,01,057,,05164,Belk,town
AL,01,085,,05692,Benton,town
AL,01,057,,05932,Berry,town
AL,01,001,,06460,Billingsley,town
AL,01,061,,07120,Black,town
AL,01,009,,07456,Blountsville,town
AL,01,005,,07672,Blue Springs,town
AL,01,063,,08104,Boligee,town
AL,01,121,,08248,Bon Air,town
AL,01,041,,09016,Brantley,town
AL,01,093,,09424,Brilliant,town
AL,01,073,,09736,Brookside,town
AL,01,125,,09808,Brookwood,town
AL,01,023,,11032,Butler,town
AL,01,123,,11680,Camp Hill,town
AL,01,073,,12040,Cardiff,town
AL,01,039,,12160,Carolina,town
AL,01,107,,12304,Carrollton,town
AL,01,035,,12496,Castleberry,town
AL,01,019,,12760,Cedar Bluff,town
AL,01,129,,14008,Chatom,town
AL,01,033,,14152,Cherokee,town
AL,01,045,,15304,Clayhatchee,town
AL,01,005,,15376,Clayton,town
AL,01,009,,15472,Cleveland,town
AL,01,125,,16000,Coaling,town
